Model,Side,Gadd
SHC,Front,1033.12
SHC,Front,1348.208
SHC,Front,1071.822
SHC,Front,976.702
SHC,Front,990.1
SHC,Front,1099.04
SHC,Front,1199.141
SHC,Front,1240.194
SHC,Front,1314.289
SHC,Front,1388.383
SHC,Back,894.646
SHC,Back,902.892
SHC,Back,1010.01
SHC,Back,897.587
SHC,Back,944.155
SHC,Back,946.29
SHC,Back,960.622
SHC,Back,1018.716
SHC,Back,1062.932
SHC,Back,1107.148
SHCAF,Front,1077.465
SHCAF,Front,1067.588
SHCAF,Front,881.427
SHCAF,Front,875.805
SHCAF,Front,1512.677
SHCAF,Front,1389.608
SHCAF,Front,866.175
SHCAF,Front,1143.009
SHCAF,Front,1168.418
SHCAF,Front,1193.827
SHCAF,Back,1113.792
SHCAF,Back,1087.07
SHCAF,Back,1188.106
SHCAF,Back,920.193
SHCAF,Back,1070.711
SHCAF,Back,918.574
SHCAF,Back,1117.802
SHCAF,Back,978.509
SHCAF,Back,934.917
SHCAF,Back,891.326
SHCUL,Front,813.375
SHCUL,Front,1144.626
SHCUL,Front,1013.652
SHCUL,Front,835.126
SHCUL,Front,951.132
SHCUL,Front,950.245
SHCUL,Front,919.553
SHCUL,Front,859.215
SHCUL,Front,1047.431
SHCUL,Front,948.646
SHCUL,Back,1226.328
SHCUL,Back,1251.818
SHCUL,Back,1572.681
SHCUL,Back,1344.867
SHCUL,Back,1427.717
SHCUL,Back,1356.253
SHCUL,Back,1483.588
SHCUL,Back,1238.108
SHCUL,Back,1099.916
SHCUL,Back,961.724
BUL,Front,1387.522
BUL,Front,1332.813
BUL,Front,1142.812
BUL,Front,1030.647
BUL,Front,1271.285
BUL,Front,1338.537
BUL,Front,1323.765
BUL,Front,1178.17
BUL,Front,1133.54
BUL,Front,1088.91
BUL,Back,1710.564
BUL,Back,1543.174
BUL,Back,1652.74
BUL,Back,1522.275
BUL,Back,1336.061
BUL,Back,1512.203
BUL,Back,1773.826
BUL,Back,1400.61
BUL,Back,1304.719
BUL,Back,1208.829
